Timestamp,Quat_w,Quat_x,Quat_y,Quat_z,X Angle,Y Angle,Z Angle
4.361112,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.37656,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.392839,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.410089,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.424958,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.441367,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.457689,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.474441,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.490951,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.507237,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.523781,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.539959,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.556462,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.572772,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.58933,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.611639,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.623288,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.639005,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.655314,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.671282,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.687714,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.704057,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.72064,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.736964,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.753401,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.769971,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.786177,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.802636,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.819267,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.842816,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
